feature,importance
p_active_sensors_mean,0.1107457605379755
p_diff_01,0.07059400870316163
p2_max,0.05389601978387505
p1_rms,0.05348530626315169
p1_energy,0.04744136299895619
p1_mean,0.042130194828679975
p3_max,0.041709651488902544
p_total_mean,0.03897272550439821
p2_mean,0.03625505994845174
p_diff_12,0.033250431486795434
p2_energy,0.03285737216296773
p1_max,0.029584107776471056
p_diff_23,0.026381938864772674
p2_rms,0.023925877268338253
ay_rms,0.021516386460521852
acc_magnitude_min,0.02038082818923091
ax_median,0.020218849902863986
p3_energy,0.019532962264116806
p1_median,0.01949041140054413
p_total_min,0.01798847213708523
ay_fft_mean,0.01584197258812679
ay_min,0.015022526819360449
ax_energy,0.013970142780783495
ay_fft_std,0.013827157331327125
ax_mean,0.01351989022341922
p3_rms,0.0129929068962639
p1_min,0.012904166220777905
p3_mean,0.011707724616261834
p_active_sensors_max,0.011195671909894117
p3_median,0.010525146178983898
p2_median,0.01050195691461739
ay_mean,0.0103046452702816
ay_max,0.009100614520125583
ax_min,0.008282384117020989
ay_median,0.008114697798175348
ax_rms,0.007483375663157541
ax_fft_std,0.005972368481092694
ay_fft_max,0.0057066220063968385
p3_min,0.0052931437318315755
ax_fft_max,0.004942098755101709
gy_rms,0.004829132516666415
gy_std,0.004721906698222053
p2_min,0.0043937700277786405
gyro_magnitude_mean,0.004304410937790664
gx_fft_max,0.003951391483480524
gy_fft_std,0.0026768946741380973
gy_fft_mean,0.0021639307991456265
gx_rms,0.0020367986061755623
ax_max,0.0017569554187292571
gx_fft_std,0.0015978680436125512
