ax_mean,ax_min,ax_median,ay_mean,ay_min,ay_median,gy_std,gy_range,gz_std,gz_min,p1_mean,p1_max,p1_median,p2_mean,p2_min,p2_max,p2_median,p3_mean,p3_std,p3_min,p3_max,p3_range,p3_median,ax_rms,ax_energy,ay_rms,ay_energy,gy_rms,gy_zcr,gz_rms,p1_rms,p1_energy,p2_rms,p2_energy,p3_rms,p3_energy,p3_kurtosis,ax_fft_mean,ax_fft_std,ax_fft_max,ay_fft_mean,ay_fft_std,gy_fft_mean,gy_fft_std,gy_fft_max,gz_fft_mean,gz_fft_std,acc_magnitude_max,gyro_magnitude_mean,corr_ax_az,p_diff_01,p_diff_02,p_diff_03,p_diff_12,p_diff_23,p_total_mean,p_total_min,p_active_sensors_mean,p_active_sensors_max,p_variance_across,gy_peak_count,gy_peak_interval_mean,gesture_name
0.9297,0.88,0.93,0.7343999999999999,0.71,0.73,3.7027728677303453,16.09,3.6187921451777245,-8.88,3703.95,3734.0,3700.5,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.9299349439611355,0.8647790000000002,0.7345025527525414,0.5394939999999999,5.248919793633734,0.1,3.629007440058507,3703.962331071956,13719336.95,4095.0,16769025.0,4095.0,16769025.0,0.0,2.0390871936473984,12.990542075552625,92.97,1.5759436923344585,10.26645515641067,30.406965845040713,56.64963025562062,372.03,22.289081342340317,28.767519338909576,1.5220381072758988,5.952281678521952,-0.14506821761187808,155.42,-235.63,-235.63,-391.05,0.0,15753.32,15703.0,2.0,2.0,27633.35875,7.0,11.0,2
0.9280999999999999,0.88,0.93,0.7361000000000001,0.71,0.73,4.7264873838824535,18.689999999999998,4.279185225016557,-8.96,3699.82,3728.0,3698.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.9283172948943696,0.8617730000000001,0.7361922303311819,0.5419789999999999,5.19247079914755,0.1,4.279618557768905,3699.8247472008725,13688703.16,4095.0,16769025.0,4095.0,16769025.0,0.0,2.0267314004534414,12.969447630119644,92.80999999999999,1.5636919344666083,10.292574388076293,30.227350227010923,47.36205627138272,214.99,22.621443877596793,36.32673848410752,1.5220381072758988,6.390228813343663,-0.0832142698445686,156.14,-239.04,-239.04,-395.18,0.0,15745.78,15703.0,2.0,2.0,28234.1625,10.0,10.666666666666666,2
0.6372,-0.02,0.92,0.5339,0.07,0.73,4.388088124684827,18.71,3.827521391187775,-9.46,3692.9,3728.0,3697.0,4013.0,3826.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.7652999411995273,0.5856839999999999,0.6112405418491152,0.373615,4.3956720760311505,0.13,3.860041450554644,3692.9289324329,13637724.1,4014.7811447200957,16118467.64,4095.0,16769025.0,0.0,3.175851702833453,9.438461419193802,63.72,2.3933727751042513,7.75486291041884,27.839138953000027,34.11505794155356,199.3169371386722,24.51309226292559,30.23327676103431,1.5404544783926593,5.745797914800898,-0.9549065313542131,217.49,-102.61,-184.61,-320.1,-82.0,15711.29,15585.0,2.32,3.0,27528.918125,11.0,8.5,2
0.1812,-0.05,0.02,0.22139999999999996,0.07,0.11,6.006210139513935,24.11,4.275375841958224,-12.43,3678.88,3706.0,3680.0,3884.66,3826.0,4095.0,3839.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.39600252524447366,0.15681799999999999,0.3301666246003675,0.10901,6.018067962394576,0.12,4.706534712503457,3678.9102462549968,13534380.6,3885.9120988514396,15100312.84,4095.0,16769025.0,0.0,2.205847316519046,3.754880239928529,18.12,1.7556431437674775,3.566537417684307,34.90703645105951,49.11655165221193,220.10655517985228,29.721372978223958,41.46137914118751,1.5404544783926593,7.462276085638768,-0.8809528482589274,310.31,104.53,-105.81,-205.78,-210.34,15647.73,15550.0,2.82,3.0,26972.996875,9.0,9.75,2
0.020300000000000002,-0.05,0.02,0.1247,0.07,0.13,5.7763104790168605,24.11,5.056843342442002,-12.43,3676.62,3695.0,3679.5,3838.31,3830.0,3852.0,3838.5,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.03691882988394946,0.001363,0.12782409788455384,0.016339000000000003,5.9472180891573165,0.14,5.348511662135551,3676.635581615344,13517649.2,3838.312328354742,14732641.53,4095.0,16769025.0,0.0,0.25089681814462517,0.33846534038938597,2.0300000000000002,0.433702497373395,1.7322823510536847,33.72060487919808,50.97999123755322,233.16210386738805,31.66682388408805,46.48878098094368,1.0278132126023678,7.951177904485997,-0.3914220894975661,340.63,178.94,-77.75,-161.69,-256.69,15627.18,15550.0,3.0,3.0,26398.60375,9.0,11.0,3
0.023700000000000002,-0.03,0.02,0.1275,0.07,0.13,3.9509871728468062,19.27,4.891999872240391,-11.7,3687.0,3728.0,3683.0,3836.14,3777.0,3878.0,3837.0,4038.93,145.05152567277602,3659.0,4095.0,436.0,4095.0,0.03471310991541956,0.001205,0.12984991336154214,0.016861,4.096095213737103,0.16,4.894045872281951,3687.0331080694136,13594213.14,3836.152038175755,14716062.46,4041.5338041392156,16333995.49,2.8422331613086156,0.22273643043474894,0.3562140965166683,2.37,0.42915415355541997,1.7684249241870948,25.98082695404683,33.4353457105482,156.2423111682836,28.457694961434814,39.83252130460646,1.0296115772464878,6.279768343265573,-0.4161748338171852,328.15,179.01,-23.78,-149.14,-202.79,15577.22,15214.0,3.13,4.0,24774.18875,12.0,7.363636363636363,3
0.0242,-0.06,0.02,0.11820000000000003,0.05,0.12,4.724881436607696,21.07,8.809103618416575,-17.68,3709.87,3738.0,3723.0,3830.66,3777.0,3878.0,3829.5,3823.07,208.4427621674593,3628.0,4095.0,467.0,3666.0,0.0408166632639171,0.001666,0.12287391912037314,0.015098,5.293651953047159,0.13,8.811178354794551,3709.927418427482,13763561.45,3830.6731471113535,14674056.76,3828.7481779297004,14659312.61,-1.7093971098438605,0.26140199654123397,0.39601640900883983,2.4200000000000004,0.4372593318687846,1.6479272668093286,34.25766527014764,46.87967480943655,238.71,44.7927417173575,75.88994116114533,1.0296115772464878,9.553080246081434,-0.10642880075780473,303.94,183.15,190.74,-120.79,7.59,15377.41,15166.0,3.63,4.0,20656.151875,12.0,8.818181818181818,3
0.0235,-0.06,0.02,0.1279,0.05,0.13,4.804392759756429,18.68,9.225521372258589,-17.68,3724.91,3738.0,3727.0,3828.68,3804.0,3874.0,3827.0,3663.33,6.500853790080193,3628.0,3680.0,52.0,3664.0,0.04045985664828782,0.0016370000000000002,0.13232157798333574,0.017509,5.737361153004053,0.1,9.28150661261414,3724.9169990752816,13875006.65,3828.6872685033964,14658846.2,3663.3357681217262,13420028.95,14.652111344906483,0.2686963568252234,0.38301732053374854,2.3500000000000005,0.4543908017695323,1.783283768576174,36.17181931400347,54.4687349175202,313.60999999999996,40.32222324485688,84.21097840894572,1.0050373127401788,10.403154563008028,0.0270741546524449,292.84,189.07,354.42,-103.77,165.35,15234.67,15166.0,4.0,4.0,18159.405625,8.0,10.142857142857142,4
0.0226,-0.03,0.02,0.13440000000000002,0.09,0.14,3.8126808153843665,15.26,4.561556500801015,-12.89,3724.57,3735.0,3726.0,3828.83,3815.0,3874.0,3827.0,3663.92,6.52024539415504,3632.0,3699.0,67.0,3664.0,0.028354893757515647,0.0008039999999999998,0.13501851724856112,0.018229999999999996,3.9172357600736776,0.14,4.83161370558533,3724.5762215317864,13872468.03,3828.836696700448,14659990.45,3663.9258016504646,13424352.28,14.990322328038072,0.17623942369966678,0.31687799786985743,2.2600000000000002,0.3677769378072242,1.869218051490286,22.2845946019955,33.432471392715094,152.49300076479022,27.731905478104242,42.64979041629035,0.9687620966986683,5.557484585800944,-0.16201937261581123,295.75,191.49,356.4,-104.26,164.91,15237.64,15182.0,4.0,4.0,18372.97375,10.0,10.666666666666666,4
-0.40379999999999994,-0.96,0.005,-0.27790000000000004,-0.83,0.12,1.8532545534815232,9.04,1.780835657774181,-6.46,3887.61,4095.0,3728.0,3945.26,3815.0,4095.0,3833.0,3853.89,213.76678390245763,3647.0,4095.0,448.0,3667.5,0.6296173441067202,0.3964180000000001,0.5399472196428092,0.29154300000000005,1.8567207652202309,0.37,1.9444053075426428,3891.9551115088675,15147314.59,3947.4931817547194,15582702.42,3859.8140330850138,14898164.37,-1.9405699525618976,2.866236596728253,6.908825353963988,40.379999999999995,2.525937178180052,5.5223891000080565,14.206532333563652,11.998148984548012,54.64781009190532,12.156585943533187,17.06499792550504,1.4831722759005441,2.530073968591473,0.9898874563649668,164.78,107.13,198.5,-57.65,91.37,15739.15,15191.0,2.24,4.0,10167.388125,22.0,4.380952380952381,4
