feature,importance
p_active_sensors_mean,0.11434685708419774
ay_min,0.07894212575802417
p2_max,0.05803406886005519
acc_magnitude_max,0.04435513837947774
p3_kurtosis,0.035458438779081294
p1_max,0.031009002320829017
p_total_mean,0.029261254324440142
ay_rms,0.029215007825018766
p1_mean,0.024998034851360623
ay_fft_std,0.023589629519263685
p3_rms,0.021697944373498902
p0_max,0.019364569860043795
az_energy,0.01924952380037988
p2_rms,0.01846682916136191
p_active_sensors_max,0.01843360626597142
gz_median,0.017818051775639963
p_diff_03,0.017049462302214224
ay_mean,0.016944339329717242
p3_max,0.016790131632123114
p3_energy,0.016271647249175538
az_fft_mean,0.015852295236461603
ax_fft_max,0.01556025713629145
ax_fft_std,0.015132807920161653
p1_energy,0.014409747436622494
ay_energy,0.014211488770015969
p1_rms,0.01420061889983166
ax_max,0.013963954095648812
p_diff_02,0.012939285620773884
az_max,0.012755807734558849
ax_rms,0.012206040479724336
acc_magnitude_mean,0.011883022160646937
p2_mean,0.011728328754493908
az_fft_std,0.01172176765555612
az_fft_max,0.010787773449010598
p3_mean,0.010428730290588639
p_diff_12,0.010302340490082086
p1_std,0.009962516387968667
p2_energy,0.009858087893027558
p2_median,0.009731454126711569
acc_magnitude_std,0.00967446471834206
ax_mean,0.008903898385237127
az_mean,0.0076331328377236395
ax_energy,0.007485693511266728
ay_fft_max,0.0070349532447930765
jerk_max,0.006822669318405794
ay_fft_mean,0.006437463237055387
az_rms,0.006086639877401572
gz_peak_count,0.005975796416426412
p3_median,0.005784045764246209
p2_min,0.00575134757003447
ay_range,0.005365736005046489
p_diff_01,0.0050527131733193245
p1_median,0.004626113166098792
az_median,0.003713979273440425
acc_magnitude_min,0.0028938232871610573
ax_fft_mean,0.0028057087039077572
ax_range,0.00257413080246236
az_std,0.0023158584576068223
az_min,0.0016315565935294963
gx_fft_max,0.0015534850465772048
gx_fft_std,0.0006819953234606393
ax_zcr,0.00026280729640593267
