id,gesture_name,timestamp,ax,ay,az,gx,gy,gz,p0,p1,p2,p3

1,2,206434,0.92,0.74,0.91,-0.23,-2.38,2.28,3859,3709,4095,4095
1,2,206446,0.89,0.73,0.91,-2.03,-4.92,4.78,3867,3712,4095,4095
1,2,206458,0.95,0.74,0.91,-1.09,-5.62,3.35,3877,3709,4095,4095
1,2,206470,0.96,0.72,0.88,-1.13,-5.5,1.04,3873,3710,4095,4095
1,2,206482,0.94,0.72,0.9,-0.95,-4.49,-0.51,3861,3710,4095,4095
1,2,206494,0.92,0.72,0.9,-0.48,-6.29,-0.29,3863,3709,4095,4095
1,2,206506,0.92,0.72,0.9,-0.45,-7.04,-0.24,3843,3708,4095,4095
1,2,206518,0.93,0.73,0.9,0.7,-7.08,-1.55,3894,3717,4095,4095
1,2,206530,0.93,0.74,0.91,0.1,-5.16,-2.38,3870,3721,4095,4095
1,2,206542,0.92,0.74,0.9,-0.75,-5.22,-2.04,3873,3723,4095,4095
1,2,206554,0.91,0.74,0.9,-2.08,-6.4,-0.35,3840,3713,4095,4095
1,2,206566,0.94,0.74,0.89,-3.1,-6.96,-0.12,3856,3707,4095,4095
1,2,206578,0.95,0.73,0.88,-3.48,-6.08,-1.95,3883,3734,4095,4095
1,2,206590,0.94,0.73,0.88,-3.35,-6.12,-2.96,3899,3701,4095,4095
1,2,206602,0.95,0.73,0.87,-3.13,-4.43,-3.16,3909,3729,4095,4095
1,2,206614,0.96,0.72,0.88,-2,-3.25,-3.14,3878,3719,4095,4095
1,2,206626,0.95,0.73,0.87,-0.71,-1.57,-2.15,3888,3718,4095,4095
1,2,206638,0.95,0.74,0.88,0.65,0.26,-1.29,3904,3731,4095,4095
1,2,206650,0.93,0.74,0.88,0.3,2.46,0.71,3889,3718,4095,4095
1,2,206662,0.91,0.73,0.89,0.33,2.12,2.8,3846,3711,4095,4095
1,2,206674,0.9,0.73,0.89,0.39,2.15,5.3,3856,3713,4095,4095
1,2,206686,0.92,0.74,0.89,0.32,2.24,5.87,3855,3694,4095,4095
1,2,206698,0.94,0.74,0.9,-0.45,3.89,3.96,3859,3703,4095,4095
1,2,206710,0.93,0.72,0.9,-0.78,2.93,2.98,3881,3710,4095,4095
1,2,206722,0.93,0.73,0.89,-0.75,0.92,0.57,3877,3710,4095,4095
1,2,206734,0.94,0.72,0.9,-1.09,-0.61,-1.25,3867,3711,4095,4095
1,2,206746,0.93,0.73,0.89,-0.98,-0.82,-2.3,3879,3714,4095,4095
1,2,206758,0.92,0.73,0.91,-1.1,-0.11,-1.57,3869,3709,4095,4095
1,2,206770,0.91,0.74,0.9,-0.54,0.61,-0.18,3882,3695,4095,4095
1,2,206782,0.91,0.74,0.9,-0.86,0.66,2.29,3831,3708,4095,4095
1,2,206794,0.91,0.73,0.9,-0.81,-0.12,3.23,3845,3716,4095,4095
1,2,206806,0.94,0.74,0.9,-1.88,-1.74,1.96,3871,3702,4095,4095
1,2,206818,0.92,0.73,0.9,-2.8,-2.78,0.26,3865,3712,4095,4095
1,2,206830,0.91,0.73,0.9,-3.19,-4.7,-0.04,3875,3729,4095,4095
1,2,206842,0.92,0.72,0.89,-3.59,-5.28,-0.91,3857,3728,4095,4095
1,2,206854,0.94,0.72,0.88,-2.95,-4.92,-2.97,3869,3716,4095,4095
1,2,206866,0.94,0.72,0.89,-1.53,-3.47,-5.37,3872,3710,4095,4095
1,2,206878,0.94,0.73,0.88,-1.16,-2.11,-5.74,3884,3711,4095,4095
1,2,206890,0.92,0.74,0.88,-1.16,-4.56,-3.51,3863,3711,4095,4095
1,2,206902,0.93,0.76,0.89,-1.38,-4.78,-1.57,3888,3707,4095,4095
1,2,206914,0.89,0.74,0.9,-1.61,-6.06,3.21,3841,3698,4095,4095
1,2,206926,0.96,0.75,0.84,-1.97,-5.62,3.87,3835,3701,4095,4095
1,2,206938,0.9,0.72,0.81,-2.09,-7.18,3.04,3858,3699,4095,4095
1,2,206950,0.95,0.77,0.86,1.92,-11.1,4.23,3856,3686,4095,4095
1,2,206962,0.96,0.73,0.87,-2.19,-4.03,2.45,3824,3701,4095,4095
1,2,206974,0.9,0.71,0.87,-1.09,-3.05,1.24,3879,3696,4095,4095
1,2,206986,0.94,0.72,0.88,-0.19,-2.31,0.86,3837,3697,4095,4095
1,2,206998,0.91,0.75,0.95,-1.97,2.18,0.97,3877,3699,4095,4095
1,2,207010,0.96,0.74,0.92,-0.29,1.34,-0.44,3851,3698,4095,4095
1,2,207022,0.95,0.74,0.87,-1.47,0.37,-0.38,3856,3696,4095,4095
1,2,207034,0.93,0.74,0.9,-0.19,1.4,-1.96,3856,3701,4095,4095
1,2,207046,0.92,0.73,0.88,0.44,1.47,0.08,3856,3699,4095,4095
1,2,207058,0.94,0.74,0.9,-0.06,0.6,-0.15,3858,3703,4095,4095
1,2,207070,0.95,0.75,0.89,-1.13,-2.17,0.78,3838,3697,4095,4095
1,2,207082,0.92,0.73,0.87,-3.15,-1.66,-1.08,3856,3700,4095,4095
1,2,207094,0.94,0.73,0.86,-2.8,-4.01,-2.71,3881,3697,4095,4095
1,2,207106,0.95,0.73,0.86,-3.03,-4.99,-4.27,3853,3695,4095,4095
1,2,207118,0.93,0.72,0.86,-0.81,-4.14,-4.27,3855,3693,4095,4095
1,2,207130,0.93,0.73,0.87,0.94,-0.92,-1,3825,3693,4095,4095
1,2,207142,0.95,0.75,0.87,2.82,0.4,1.26,3844,3696,4095,4095
1,2,207154,0.94,0.74,0.87,2.96,1.79,1.81,3838,3701,4095,4095
1,2,207166,0.92,0.73,0.89,4.35,-0.72,3.85,3871,3694,4095,4095
1,2,207178,0.92,0.74,0.9,3.58,-0.67,2.78,3840,3698,4095,4095
